date,image
 December 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19101215thumbnails/Covers/0x420/19101215.jpg
 December 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19101201thumbnails/Covers/0x420/19101201.jpg
 November 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19101115thumbnails/Covers/0x420/19101115.jpg
 November 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19101101thumbnails/Covers/0x420/19101101.jpg
 October 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19101015thumbnails/Covers/0x420/19101015.jpg
 October 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19101001thumbnails/Covers/0x420/19101001.jpg
 September 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100915thumbnails/Covers/0x420/19100915.jpg
 September 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100901thumbnails/Covers/0x420/19100901.jpg
 August 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100815thumbnails/Covers/0x420/19100815.jpg
 August 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100801thumbnails/Covers/0x420/19100801.jpg
 July 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100715thumbnails/Covers/0x420/19100715.jpg
 July 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100701thumbnails/Covers/0x420/19100701.jpg
 June 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100615thumbnails/Covers/0x420/19100615.jpg
 June 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100601thumbnails/Covers/0x420/19100601.jpg
 May 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100515thumbnails/Covers/0x420/19100515.jpg
 May 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100501thumbnails/Covers/0x420/19100501.jpg
 April 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100415thumbnails/Covers/0x420/19100415.jpg
 April 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100401thumbnails/Covers/0x420/19100401.jpg
 March 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100315thumbnails/Covers/0x420/19100315.jpg
 March 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100301thumbnails/Covers/0x420/19100301.jpg
 February 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100215thumbnails/Covers/0x420/19100215.jpg
 February 12 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100212thumbnails/Covers/0x420/19100212.jpg
 February 5 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100205thumbnails/Covers/0x420/19100205.jpg
 January 29 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100129thumbnails/Covers/0x420/19100129.jpg
 January 22 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100122thumbnails/Covers/0x420/19100122.jpg
 January 15 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100115thumbnails/Covers/0x420/19100115.jpg
 January 8 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100108thumbnails/Covers/0x420/19100108.jpg
 January 1 1910 ,https://vogue.blob.core.windows.net/vogueoutput19100101thumbnails/Covers/0x420/19100101.jpg
