date,image
May 61909,https://vogue.blob.core.windows.net/vogueoutput19090506thumbnails/Covers/0x420/19090506.jpg
April 291909,https://vogue.blob.core.windows.net/vogueoutput19090429thumbnails/Covers/0x420/19090429.jpg
April 221909,https://vogue.blob.core.windows.net/vogueoutput19090422thumbnails/Covers/0x420/19090422.jpg
April 151909,https://vogue.blob.core.windows.net/vogueoutput19090415thumbnails/Covers/0x420/19090415.jpg
April 81909,https://vogue.blob.core.windows.net/vogueoutput19090408thumbnails/Covers/0x420/19090408.jpg
April 11909,https://vogue.blob.core.windows.net/vogueoutput19090401thumbnails/Covers/0x420/19090401.jpg
March 251909,https://vogue.blob.core.windows.net/vogueoutput19090325thumbnails/Covers/0x420/19090325.jpg
March 181909,https://vogue.blob.core.windows.net/vogueoutput19090318thumbnails/Covers/0x420/19090318.jpg
March 111909,https://vogue.blob.core.windows.net/vogueoutput19090311thumbnails/Covers/0x420/19090311.jpg
March 41909,https://vogue.blob.core.windows.net/vogueoutput19090304thumbnails/Covers/0x420/19090304.jpg
February 251909,https://vogue.blob.core.windows.net/vogueoutput19090225thumbnails/Covers/0x420/19090225.jpg
February 181909,https://vogue.blob.core.windows.net/vogueoutput19090218thumbnails/Covers/0x420/19090218.jpg
February 111909,https://vogue.blob.core.windows.net/vogueoutput19090211thumbnails/Covers/0x420/19090211.jpg
February 41909,https://vogue.blob.core.windows.net/vogueoutput19090204thumbnails/Covers/0x420/19090204.jpg
January 281909,https://vogue.blob.core.windows.net/vogueoutput19090128thumbnails/Covers/0x420/19090128.jpg
January 211909,https://vogue.blob.core.windows.net/vogueoutput19090121thumbnails/Covers/0x420/19090121.jpg
January 141909,https://vogue.blob.core.windows.net/vogueoutput19090114thumbnails/Covers/0x420/19090114.jpg
January 71909,https://vogue.blob.core.windows.net/vogueoutput19090107thumbnails/Covers/0x420/19090107.jpg
December 311908,https://vogue.blob.core.windows.net/vogueoutput19081231thumbnails/Covers/0x420/19081231.jpg
December 241908,https://vogue.blob.core.windows.net/vogueoutput19081224thumbnails/Covers/0x420/19081224.jpg
December 171908,https://vogue.blob.core.windows.net/vogueoutput19081217thumbnails/Covers/0x420/19081217.jpg
December 101908,https://vogue.blob.core.windows.net/vogueoutput19081210thumbnails/Covers/0x420/19081210.jpg
December 31908,https://vogue.blob.core.windows.net/vogueoutput19081203thumbnails/Covers/0x420/19081203.jpg
November 261908,https://vogue.blob.core.windows.net/vogueoutput19081126thumbnails/Covers/0x420/19081126.jpg
November 191908,https://vogue.blob.core.windows.net/vogueoutput19081119thumbnails/Covers/0x420/19081119.jpg
November 121908,https://vogue.blob.core.windows.net/vogueoutput19081112thumbnails/Covers/0x420/19081112.jpg
November 51908,https://vogue.blob.core.windows.net/vogueoutput19081105thumbnails/Covers/0x420/19081105.jpg
October 291908,https://vogue.blob.core.windows.net/vogueoutput19081029thumbnails/Covers/0x420/19081029.jpg
October 221908,https://vogue.blob.core.windows.net/vogueoutput19081022thumbnails/Covers/0x420/19081022.jpg
October 151908,https://vogue.blob.core.windows.net/vogueoutput19081015thumbnails/Covers/0x420/19081015.jpg
October 81908,https://vogue.blob.core.windows.net/vogueoutput19081008thumbnails/Covers/0x420/19081008.jpg
October 11908,https://vogue.blob.core.windows.net/vogueoutput19081001thumbnails/Covers/0x420/19081001.jpg
September 241908,https://vogue.blob.core.windows.net/vogueoutput19080924thumbnails/Covers/0x420/19080924.jpg
September 171908,https://vogue.blob.core.windows.net/vogueoutput19080917thumbnails/Covers/0x420/19080917.jpg
September 101908,https://vogue.blob.core.windows.net/vogueoutput19080910thumbnails/Covers/0x420/19080910.jpg
September 31908,https://vogue.blob.core.windows.net/vogueoutput19080903thumbnails/Covers/0x420/19080903.jpg
August 271908,https://vogue.blob.core.windows.net/vogueoutput19080827thumbnails/Covers/0x420/19080827.jpg
August 201908,https://vogue.blob.core.windows.net/vogueoutput19080820thumbnails/Covers/0x420/19080820.jpg
August 131908,https://vogue.blob.core.windows.net/vogueoutput19080813thumbnails/Covers/0x420/19080813.jpg
August 61908,https://vogue.blob.core.windows.net/vogueoutput19080806thumbnails/Covers/0x420/19080806.jpg
July 301908,https://vogue.blob.core.windows.net/vogueoutput19080730thumbnails/Covers/0x420/19080730.jpg
July 231908,https://vogue.blob.core.windows.net/vogueoutput19080723thumbnails/Covers/0x420/19080723.jpg
July 161908,https://vogue.blob.core.windows.net/vogueoutput19080716thumbnails/Covers/0x420/19080716.jpg
July 91908,https://vogue.blob.core.windows.net/vogueoutput19080709thumbnails/Covers/0x420/19080709.jpg
July 21908,https://vogue.blob.core.windows.net/vogueoutput19080702thumbnails/Covers/0x420/19080702.jpg
June 251908,https://vogue.blob.core.windows.net/vogueoutput19080625thumbnails/Covers/0x420/19080625.jpg
June 181908,https://vogue.blob.core.windows.net/vogueoutput19080618thumbnails/Covers/0x420/19080618.jpg
June 111908,https://vogue.blob.core.windows.net/vogueoutput19080611thumbnails/Covers/0x420/19080611.jpg
June 41908,https://vogue.blob.core.windows.net/vogueoutput19080604thumbnails/Covers/0x420/19080604.jpg
May 281908,https://vogue.blob.core.windows.net/vogueoutput19080528thumbnails/Covers/0x420/19080528.jpg
May 211908,https://vogue.blob.core.windows.net/vogueoutput19080521thumbnails/Covers/0x420/19080521.jpg
May 141908,https://vogue.blob.core.windows.net/vogueoutput19080514thumbnails/Covers/0x420/19080514.jpg
May 71908,https://vogue.blob.core.windows.net/vogueoutput19080507thumbnails/Covers/0x420/19080507.jpg
April 301908,https://vogue.blob.core.windows.net/vogueoutput19080430thumbnails/Covers/0x420/19080430.jpg
April 231908,https://vogue.blob.core.windows.net/vogueoutput19080423thumbnails/Covers/0x420/19080423.jpg
April 161908,https://vogue.blob.core.windows.net/vogueoutput19080416thumbnails/Covers/0x420/19080416.jpg
April 91908,https://vogue.blob.core.windows.net/vogueoutput19080409thumbnails/Covers/0x420/19080409.jpg
April 21908,https://vogue.blob.core.windows.net/vogueoutput19080402thumbnails/Covers/0x420/19080402.jpg
March 261908,https://vogue.blob.core.windows.net/vogueoutput19080326thumbnails/Covers/0x420/19080326.jpg
March 191908,https://vogue.blob.core.windows.net/vogueoutput19080319thumbnails/Covers/0x420/19080319.jpg
March 121908,https://vogue.blob.core.windows.net/vogueoutput19080312thumbnails/Covers/0x420/19080312.jpg
March 51908,https://vogue.blob.core.windows.net/vogueoutput19080305thumbnails/Covers/0x420/19080305.jpg
February 271908,https://vogue.blob.core.windows.net/vogueoutput19080227thumbnails/Covers/0x420/19080227.jpg
February 201908,https://vogue.blob.core.windows.net/vogueoutput19080220thumbnails/Covers/0x420/19080220.jpg
February 131908,https://vogue.blob.core.windows.net/vogueoutput19080213thumbnails/Covers/0x420/19080213.jpg
